subtaskID,datapointID,answer
1,0,353808
2,0,0.715384
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,1
3,6,1
3,7,0
3,8,1
3,9,0
3,10,0
3,11,1
3,12,1
3,13,1
3,14,0
3,15,1
3,16,1
3,17,1
3,18,0
3,19,1
3,20,0
3,21,1
3,22,0
3,23,1
3,24,1
3,25,1
3,26,0
3,27,1
3,28,0
3,29,1
3,30,1
3,31,1
3,32,1
3,33,0
3,34,0
3,35,0
3,36,1
3,37,1
3,38,0
3,39,1
3,40,1
3,41,1
3,42,0
3,43,1
3,44,0
3,45,1
3,46,1
3,47,0
3,48,0
3,49,1
3,50,1
3,51,1
3,52,1
3,53,0
3,54,1
3,55,0
3,56,0
3,57,0
3,58,0
3,59,1
3,60,1
3,61,0
3,62,1
3,63,0
3,64,1
3,5000,0
3,5001,0
3,5002,1
3,5003,1
3,5004,0
3,5005,0
3,5006,1
3,5007,0
3,5008,0
3,5009,0
3,5010,0
3,5011,1
3,5012,1
3,5013,0
3,5014,0
3,5015,0
3,5016,0
3,5017,0
3,5018,0
3,5019,0
3,5020,0
3,5021,0
3,5022,0
3,5023,0
3,5024,0
3,5025,0
3,5026,0
3,5027,1
3,5028,0
3,5029,0
3,5030,0
3,5031,0
3,5032,0
3,5033,1
3,5034,1
3,5035,0
3,5036,0
3,5037,0
3,5038,0
3,5039,0
3,5040,0
3,5041,0
3,5042,0
3,5043,0
3,5044,0
3,5045,0
3,5046,1
3,5047,0
3,5048,1
3,5049,0
3,5050,1
3,5051,0
