subtaskID,datapointID,answer
1,1,9001
2,1,4443
3,1,15.51
4,1,412
5,12618012,111.0
5,19091177,119.0
5,14793975,95.0
5,17338539,147.0
5,16351902,14.0
5,10116277,224.0
5,11045810,63.0
5,10825501,38.0
5,19727017,106.0
5,16451525,97.0
5,19783354,171.0
5,15890999,11.0
5,13899986,58.0
5,19266216,112.0
5,10836299,157.0
5,10712930,9.0
5,17110501,204.0
5,12449126,237.0
5,18063957,113.0
5,16379355,186.0
5,11895218,4.0
5,14242881,158.0
5,10531383,9.0
5,13363777,81.0
5,12810706,164.0
5,18327170,109.0
5,16994274,10.0
5,19197815,159.0
5,19263638,70.0
5,17355831,14.0
5,17878231,101.0
5,19389535,42.0
5,15556930,7.0
5,14412517,173.0
5,18869437,9.0
5,16680862,11.0
5,10694934,138.0
5,18511325,43.0
5,18888478,144.0
5,19238785,15.0
5,12356410,166.0
5,16009926,64.0
5,17749763,80.0
5,17157156,68.0
5,12828450,15.0
5,18672521,43.0
5,17374859,82.0
5,11018598,89.0
5,12198133,11.0
5,11942073,18.0
5,13924806,39.0
5,18937879,166.0
5,16743442,105.0
5,15558386,18.0
5,19894490,70.0
5,15119296,13.0
5,16616271,7.0
5,18729355,48.0
5,13361468,54.0
5,17765743,159.0
5,19508477,34.0
5,19249358,197.0
5,17119426,209.0
5,17189450,27.0
5,13211594,71.0
5,12458777,37.0
5,13407292,30.0
5,12356630,109.0
5,12338147,71.0
5,15769427,135.0
5,11323469,123.0
5,17333762,126.0
5,12990892,127.0
5,16817348,35.0
5,17127278,28.0
5,13574028,19.0
5,17423465,89.0
5,18468299,212.0
5,15628837,72.0
5,14634993,92.0
5,10928223,142.0
5,18069339,135.0
5,17643401,67.0
5,16169462,18.0
5,17547681,89.0
5,17283720,19.0
5,10561982,146.0
5,14039719,104.0
5,10794997,220.0
5,10018110,1.0
5,18735761,122.0
5,15744627,168.0
5,15059795,208.0
5,18430900,99.0
5,12667831,60.0
5,11602835,175.0
5,15322514,12.0
5,15319150,17.0
5,10881697,81.0
5,10825665,103.0
5,13473399,28.0
5,19159482,91.0
5,10444932,170.0
5,15360654,112.0
5,18695596,22.0
5,13153010,151.0
5,18672971,64.0
5,19809046,60.0
5,16646640,76.0
5,14777293,128.0
5,11110860,110.0
5,10539965,10.0
5,16627485,182.0
5,19090637,77.0
5,11989680,23.0
5,13065291,2.0
5,15798518,5.0
5,15168455,127.0
5,10244000,17.0
5,19257291,211.0
5,19531529,13.0
5,12359689,6.0
5,13441099,160.0
5,19827274,7.0
5,17322643,83.0
5,13195956,110.0
5,17663119,192.0
5,19669914,24.0
5,10918689,24.0
5,11960136,21.0
5,18230287,40.0
5,18979629,183.0
5,17433265,13.0
5,17960278,2.0
5,16271091,90.0
5,18551283,172.0
5,16216461,94.0
5,16117769,195.0
5,12689269,144.0
5,19326172,63.0
5,13287939,181.0
5,13714216,109.0
5,13174651,103.0
5,18740257,27.0
5,10710082,130.0
5,14770855,48.0
5,18341246,61.0
5,15135191,27.0
5,15988910,131.0
5,11878559,148.0
5,18862206,96.0
5,14418793,40.0
5,18542347,188.0
5,16729306,131.0
5,19840207,95.0
5,16699098,28.0
5,11461538,72.0
5,19477257,12.0
5,16938655,70.0
5,12383652,128.0
5,18244509,191.0
5,13060955,178.0
5,19000838,192.0
5,17528796,9.0
5,14806687,155.0
5,14350302,103.0
5,13506287,29.0
5,11300933,96.0
5,19381713,27.0
5,11979612,138.0
5,10098080,167.0
5,16408479,5.0
5,13646720,117.0
5,15486264,11.0
5,16753882,108.0
5,18710123,99.0
5,19642041,8.0
5,19767750,14.0
5,13625777,63.0
5,13976502,12.0
5,17741084,87.0
5,19936530,143.0
5,13344313,154.0
5,19287036,137.0
5,14179764,61.0
5,16819144,116.0
5,17831465,46.0
5,15381428,35.0
5,18954962,41.0
5,18233224,14.0
5,11748435,67.0
5,13052693,173.0
5,15613656,159.0
5,14933337,138.0
5,17994890,46.0
5,16968340,4.0
5,13315538,106.0
5,14218053,60.0
5,11833919,62.0
5,12072028,197.0
5,19403638,13.0
5,16724473,45.0
5,13817167,115.0
5,12782916,59.0
5,19976691,24.0
5,16250104,57.0
5,15005212,110.0
5,12664301,37.0
5,13763629,127.0
5,18476144,121.0
5,17437832,70.0
5,16445155,23.0
5,13224828,18.0
5,11560169,122.0
5,13454914,76.0
5,12860108,82.0
5,13932492,143.0
5,19123344,12.0
5,16664880,23.0
5,12342367,35.0
5,12285465,84.0
5,11372824,176.0
5,14275480,67.0
5,14405359,71.0
5,18271631,14.0
5,16104833,46.0
5,18448095,189.0
5,16429150,204.0
5,12242593,105.0
5,17949654,73.0
5,12747729,96.0
5,18538549,21.0
5,10580206,22.0
5,14321936,118.0
5,11074364,20.0
5,15740279,138.0
5,18346384,106.0
5,19981365,57.0
5,11501754,72.0
5,19744649,163.0
5,18994550,97.0
5,19136513,147.0
5,15984339,202.0
5,10796536,36.0
5,10282425,32.0
5,19128492,153.0
5,13591182,14.0
5,18051437,251.0
5,16697958,11.0
5,15592834,65.0
5,14314137,148.0
5,13750554,4.0
5,13487036,16.0
5,10749574,137.0
5,14081271,124.0
5,16224786,121.0
5,11042324,15.0
5,16105371,22.0
5,11667896,224.0
5,14366581,52.0
5,12157165,44.0
5,19387485,166.0
5,10459338,19.0
5,11152622,202.0
5,13457325,102.0
5,12411719,170.0
5,15832325,59.0
5,17954973,109.0
5,19340793,61.0
5,12036626,17.0
5,17220443,93.0
5,16335507,158.0
5,16687866,126.0
5,18522331,166.0
5,19434121,156.0
5,14522123,175.0
5,18634285,79.0
5,18129570,165.0
5,13450973,15.0
5,17422182,43.0
5,11751495,67.0
5,16984579,113.0
5,15387103,73.0
5,14837578,150.0
5,15768703,6.0
5,11548493,41.0
